player,team,yahoo,espn,fantrax,average
Jared Butler,PHO,136.0,139.6,1300.8,525.5
Jared McCain,PHI,123.5,128.2,141.6,131.1
Jaren Jackson Jr.,MEM,42.7,47.2,22.8,37.6
Jarred Vanderbilt,LAL,,139.9,1301.8,720.9
Jarrett Allen,CLE,63.7,66.1,58.0,62.6
Jaxson Hayes,LAL,92.0,139.8,,115.9
Jay Huff,IND,133.0,140.0,147.1,140.0
Jaylen Brown,BOS,26.7,29.7,40.2,32.2
Jaylen Wells,MEM,,139.9,149.7,144.8
Jaylin Williams,OKC,,139.6,1257.8,698.7
Jaylon Tyson,CLE,,140.0,1224.8,682.4
Jayson Tatum,BOS,72.0,130.6,81.9,94.8
Jerami Grant,POR,139.0,137.4,149.9,142.1
Jeremiah Fears,NO,,138.9,1283.8,711.4
Jeremy Sochan,SA,144.0,139.0,152.1,145.0
Jimmy Butler,GS,55.0,72.7,56.2,61.3
Jimmy Butler III,GSW,44.0,46.0,,45.0
Joe Ingles,MIN,,140.0,267.4,203.7
Joe Young,FA,,191.0,,191.0
Joel Embiid,PHI,49.0,62.6,49.0,53.5
John Collins,LAC,95.7,86.8,89.2,90.6
Johnny Furphy,IND,,139.9,1311.8,725.9
Jonas Valanciunas,DEN,151.0,118.5,278.9,182.8
Jonathan Isaac,ORL,,140.0,1229.8,684.9
Jonathan Kuminga,GS,134.0,125.5,133.4,131.0
Jonathan Mogbo,TOR,,140.0,1240.8,690.4
Jordan Clarkson,NY,,138.4,202.9,170.7
Jordan Hawkins,NO,,139.9,1289.8,714.9
Jordan Poole,NO,69.7,60.8,60.2,63.6
Jordan Walsh,BOS,,139.9,1279.8,709.9
Jose Alvarado,NO,,140.0,332.2,236.1
Josh Giddey,CHI,38.3,55.2,31.4,41.6
Josh Green,CHA,,139.9,1309.8,724.9
Josh Hart,NY,52.0,34.7,56.4,47.7
Josh Minott,BOS,,140.0,385.1,262.6
Jrue Holiday,POR,131.0,121.0,130.2,127.4
Julian Champagnie,SA,,140.0,1256.8,698.4
Julian Strawther,DEN,,140.0,1287.8,713.9
Julius Randle,MIN,55.0,73.8,69.1,66.0
Justin Champagnie,WAS,,140.0,1152.6,646.3
Justin Edwards,PHI,,139.9,1234.8,687.4
Justin Holiday,FA,,170.0,,170.0
Jusuf Nurkic,UTA,,139.5,285.4,212.5
Karl-Anthony Towns,NY,9.7,13.1,8.9,10.6
Karlo Matkovic,NOR,225.0,,,225.0
Kawhi Leonard,LAC,30.3,56.1,48.5,45.0
Keaton Wallace,ATL,81.0,140.0,,110.5
Keegan Murray,SAC,112.7,109.8,112.4,111.6
Kel'el Ware,MIA,87.3,138.5,96.8,107.5
Keldon Johnson,SA,,140.0,336.8,238.4
Kelly Olynyk,SA,,139.9,1241.8,690.9
Kelly Oubre Jr.,PHI,,129.9,148.7,139.3
Kentavious Caldwell-Pope,MEM,,139.9,345.7,242.8
Keon Ellis,SAC,146.0,139.8,142.9,142.9
Keon Johnson,BKN,,140.0,1268.8,704.4
Kevin Durant,HOU,27.3,18.4,16.9,20.9
Kevin Huerter,FA,,139.9,1237.8,688.9
Kevin Porter Jr.,MIL,148.0,139.4,138.8,142.1
Kevon Looney,NO,,139.9,1249.8,694.9
Keyonte George,UTA,120.3,129.5,118.7,122.8
Khaman Maluach,PHO,,138.0,240.9,189.5
Khris Middleton,WAS,150.0,139.7,230.9,173.5
Klay Thompson,DAL,112.0,119.8,142.0,124.6
Kon Knueppel,CHA,151.0,137.7,151.9,146.9
Kris Dunn,LAC,,140.0,334.6,237.3
Kristaps Porzingis,ATL,52.7,91.2,60.5,68.1
Kyle Anderson,UTH,178.0,,,178.0
Kyle Filipowski,UTA,150.0,139.4,118.3,135.9
Kyle Kuzma,MIL,140.0,137.3,142.6,140.0
Kyrie Irving,DAL,116.3,130.1,113.6,120.0
Kyshawn George,WAS,,140.0,143.9,142.0
LaMelo Ball,CHA,22.0,51.3,24.8,32.7
Larry Nance Jr.,CLE,,139.9,1247.8,693.9
Lauri Markkanen,UTA,48.7,93.7,69.0,70.5
LeBron James,LAL,15.7,10.6,20.4,15.6
Leaky Black,FA,,189.0,,189.0
Lindy Waters III,SAS,,200.0,,200.0
Lonzo Ball,CLE,,139.1,146.5,142.8
Luguentz Dort,OKC,,136.6,237.1,186.9
Luka Doncic,LAL,5.0,4.8,4.0,4.6
Luka Garza,BOS,,140.0,388.9,264.5
Luke Kennard,ATL,,139.9,1211.8,675.9
Luke Kornet,SA,,139.8,1187.0,663.4
Mac McClung,FA,,185.0,,185.0
Malcolm Brogdon,FA,,139.9,1284.8,712.4
Malik Beasley,FA,146.0,139.7,215.4,167.0
Malik Monk,SAC,108.7,94.1,100.2,101.0
Marcus Sasser,DET,57.0,139.9,,98.5
Marcus Smart,LAL,,139.4,364.8,252.1
Marcus Zegarowski,FA,,169.0,,169.0
Mark Williams,PHO,96.7,96.5,78.8,90.7
Marvin Bagley III,WAS,,140.0,1303.8,721.9
Mason Plumlee,CHA,,140.0,392.6,266.3
Matas Buzelis,CHI,103.0,138.0,113.7,118.2
Matisse Thybulle,POR,,140.0,397.8,268.9
Max Christie,DAL,,139.9,343.4,241.7
Max Strus,CLE,121.0,139.9,352.4,204.4
McKinley Wright IV,FA,,181.0,,181.0
Michael Porter Jr.,BKN,64.0,91.8,77.8,77.9
Mikal Bridges,NY,87.0,54.0,73.8,71.6
Mike Conley,MIN,,139.4,289.1,214.3
Miles Bridges,CHA,66.0,49.4,76.6,64.0
Miles McBride,NY,,139.6,375.1,257.4
Mitchell Robinson,NY,,139.7,150.5,145.1
Mo Bamba,FA,,168.0,,168.0
Moritz Wagner,ORL,,139.9,1232.8,686.4
Moses Moody,GS,,139.8,1221.8,680.8
Moses Wright,FA,,190.0,,190.0
Mouhamed Gueye,ATL,,140.0,1271.8,705.9
Moussa Diabaté,CHA,153.0,140.0,188.4,160.5
Myles Turner,MIL,69.7,72.3,39.8,60.6
Naji Marshall,DAL,,139.9,343.4,241.7
Naz Reid,MIN,104.3,97.6,94.9,98.9
Neemias Queta,BOS,,139.9,292.7,216.3
Nic Claxton,BKN,65.0,74.0,,69.5
Nick Richards,PHO,,140.0,1205.2,672.6
Nickeil Alexander-Walker,ATL,149.0,139.9,298.5,195.8
Nicolas Batum,LAC,,140.0,1310.8,725.4
Nicolas Claxton,BKN,115.3,122.6,97.3,111.7
Nikola Jokic,DEN,2.0,1.8,1.2,1.7
Nikola Jovic,MIA,,139.6,1102.7,621.2
Nikola Topic,OKC,,140.0,297.3,218.7
Nikola Vucevic,CHI,52.0,31.4,47.2,43.5
Nique Clifford,SAC,,140.0,388.8,264.4
Noa Essengue,CHI,,140.0,1306.8,723.4
Noah Clowney,BKN,,140.0,331.9,236.0
Norman Powell,MIA,103.0,91.8,98.6,97.8
OG Anunoby,NY,72.0,95.1,57.9,75.0
Obi Toppin,IND,143.0,139.0,271.9,184.6
Ochai Agbaji,TOR,,140.0,1227.8,683.9
Onyeka Okongwu,ATL,108.3,116.0,70.1,98.1
Oscar Tshiebwe,FA,,140.0,1304.8,722.4
Oso Ighodaro,PHO,,140.0,348.3,244.2
P.J. Washington,DAL,120.0,98.3,129.0,115.8
P.J. Washington Jr.,DAL,133.0,115.0,,124.0
PLAYER,TEAM,,,,
Paolo Banchero,ORL,15.3,22.0,35.3,24.2
Pascal Siakam,IND,34.0,22.0,33.6,29.9
Patrick Williams,CHI,,139.9,1251.8,695.9
Paul George,PHI,76.0,90.8,74.8,80.5
Paul Zipser,FA,,187.0,,187.0
Payton Pritchard,BOS,106.0,97.7,91.8,98.5
Pelle Larsson,MIA,,140.0,1290.8,715.4
Peyton Watson,DEN,136.0,140.0,268.8,181.6
Precious Achiuwa,FA,217.0,,,217.0
Quentin Grimes,PHI,143.5,139.2,123.7,135.5
Quinten Post,GS,,139.9,1170.8,655.4
RJ Barrett,TOR,74.7,80.2,96.9,83.9
Rade Zagorac,FA,,176.0,,176.0
Rasheer Fleming,PHO,,139.9,370.7,255.3
Reed Sheppard,HOU,,139.1,278.3,208.7
Rob Dillingham,MIN,,139.3,325.9,232.6
Robert Williams III,POR,,140.0,378.1,259.1
Robert Woodard II,FA,,196.0,,196.0
Robin Lopez,FA,,184.0,,184.0
Ron Holland II,DET,,140.0,382.2,261.1
Royce O'Neale,PHO,,139.8,391.4,265.6
Rudy Gobert,MIN,69.3,79.7,68.0,72.3
Rui Hachimura,LAL,140.0,137.4,283.6,187.0
Russell Westbrook,FA,,105.1,135.7,120.4
Russell Westbrook III,FA,159.0,97.0,,128.0
